ts,Open,High,Low,Close,Volume
2026-02-26 09:00:00,1895,1895,1870,1885,503
2026-02-26 09:01:00,1885,1895,1885,1890,88
2026-02-26 09:02:00,1890,1890,1880,1885,68
2026-02-26 09:03:00,1885,1890,1885,1885,35
2026-02-26 09:04:00,1885,1890,1885,1885,44
2026-02-26 09:05:00,1890,1890,1885,1890,11
2026-02-26 09:06:00,1885,1890,1885,1885,11
2026-02-26 09:07:00,1885,1890,1885,1885,12
2026-02-26 09:08:00,1885,1890,1885,1885,37
2026-02-26 09:09:00,1890,1890,1885,1890,27
2026-02-26 09:10:00,1890,1890,1885,1885,61
2026-02-26 09:11:00,1885,1885,1880,1880,169
2026-02-26 09:12:00,1880,1885,1880,1880,19
2026-02-26 09:13:00,1880,1880,1880,1880,45
2026-02-26 09:14:00,1880,1880,1875,1875,37
2026-02-26 09:15:00,1875,1880,1875,1875,45
2026-02-26 09:16:00,1875,1875,1870,1870,32
2026-02-26 09:17:00,1870,1875,1870,1870,22
2026-02-26 09:18:00,1875,1875,1870,1875,5
2026-02-26 09:19:00,1870,1875,1870,1870,15
2026-02-26 09:20:00,1870,1875,1870,1870,20
2026-02-26 09:21:00,1870,1870,1865,1870,54
2026-02-26 09:22:00,1870,1870,1870,1870,53
2026-02-26 09:23:00,1870,1870,1865,1865,7
2026-02-26 09:24:00,1865,1870,1865,1865,10
2026-02-26 09:25:00,1865,1865,1865,1865,40
2026-02-26 09:26:00,1860,1865,1860,1860,18
2026-02-26 09:27:00,1860,1860,1850,1850,120
2026-02-26 09:28:00,1850,1855,1850,1855,41
2026-02-26 09:29:00,1855,1860,1850,1860,68
2026-02-26 09:30:00,1855,1860,1850,1850,47
2026-02-26 09:31:00,1850,1855,1850,1850,14
2026-02-26 09:32:00,1855,1865,1855,1865,40
2026-02-26 09:33:00,1865,1865,1860,1865,11
2026-02-26 09:34:00,1865,1865,1860,1865,7
2026-02-26 09:35:00,1860,1865,1860,1865,12
2026-02-26 09:36:00,1860,1865,1860,1860,9
2026-02-26 09:37:00,1865,1865,1855,1860,39
2026-02-26 09:38:00,1860,1860,1855,1855,9
2026-02-26 09:39:00,1855,1860,1855,1860,11
2026-02-26 09:40:00,1860,1860,1855,1855,3
2026-02-26 09:41:00,1860,1860,1855,1860,18
2026-02-26 09:42:00,1860,1860,1855,1860,19
2026-02-26 09:43:00,1860,1865,1860,1865,68
2026-02-26 09:44:00,1870,1870,1865,1865,13
2026-02-26 09:45:00,1865,1880,1865,1875,119
2026-02-26 09:46:00,1880,1885,1875,1880,147
2026-02-26 09:47:00,1880,1885,1880,1880,11
2026-02-26 09:48:00,1885,1885,1880,1880,10
2026-02-26 09:49:00,1880,1890,1880,1890,126
2026-02-26 09:50:00,1890,1890,1885,1885,53
2026-02-26 09:51:00,1880,1885,1880,1880,11
2026-02-26 09:52:00,1885,1885,1880,1880,4
2026-02-26 09:53:00,1880,1885,1880,1880,6
2026-02-26 09:54:00,1880,1885,1880,1880,6
2026-02-26 09:55:00,1880,1885,1880,1880,8
2026-02-26 09:56:00,1880,1885,1880,1885,8
2026-02-26 09:57:00,1880,1885,1880,1885,8
2026-02-26 09:58:00,1885,1890,1885,1890,57
2026-02-26 09:59:00,1890,1895,1885,1890,129
2026-02-26 10:00:00,1890,1895,1890,1890,14
2026-02-26 10:01:00,1890,1895,1890,1890,15
2026-02-26 10:02:00,1890,1890,1890,1890,10
2026-02-26 10:03:00,1890,1890,1890,1890,22
2026-02-26 10:04:00,1890,1895,1890,1890,20
2026-02-26 10:05:00,1890,1895,1890,1895,191
2026-02-26 10:06:00,1895,1900,1890,1895,69
2026-02-26 10:07:00,1900,1900,1895,1895,7
2026-02-26 10:08:00,1895,1895,1890,1895,36
2026-02-26 10:09:00,1890,1895,1890,1895,28
2026-02-26 10:10:00,1900,1900,1890,1890,22
2026-02-26 10:11:00,1895,1895,1890,1890,2
2026-02-26 10:12:00,1890,1895,1890,1895,6
2026-02-26 10:13:00,1890,1895,1890,1890,6
2026-02-26 10:14:00,1890,1890,1885,1890,47
2026-02-26 10:15:00,1885,1895,1885,1890,18
2026-02-26 10:16:00,1890,1890,1890,1890,5
2026-02-26 10:17:00,1890,1890,1890,1890,4
2026-02-26 10:18:00,1895,1895,1890,1895,5
2026-02-26 10:19:00,1890,1890,1890,1890,3
2026-02-26 10:20:00,1890,1890,1885,1885,5
2026-02-26 10:21:00,1890,1890,1890,1890,1
2026-02-26 10:22:00,1890,1890,1890,1890,5
2026-02-26 10:23:00,1890,1890,1890,1890,2
2026-02-26 10:24:00,1885,1890,1885,1890,3
2026-02-26 10:25:00,1885,1890,1885,1890,2
2026-02-26 10:26:00,1885,1890,1885,1890,10
2026-02-26 10:27:00,1890,1890,1885,1885,6
2026-02-26 10:28:00,1890,1890,1885,1890,6
2026-02-26 10:29:00,1890,1890,1890,1890,21
2026-02-26 10:30:00,1890,1890,1885,1890,5
2026-02-26 10:31:00,1885,1895,1885,1895,22
2026-02-26 10:32:00,1895,1895,1885,1885,68
2026-02-26 10:33:00,1890,1895,1890,1890,17
2026-02-26 10:34:00,1890,1895,1890,1890,12
2026-02-26 10:35:00,1885,1890,1885,1890,4
2026-02-26 10:36:00,1890,1890,1885,1890,9
2026-02-26 10:37:00,1890,1895,1885,1895,21
2026-02-26 10:38:00,1895,1900,1895,1900,131
2026-02-26 10:39:00,1895,1900,1895,1895,4
2026-02-26 10:40:00,1895,1900,1895,1895,7
2026-02-26 10:41:00,1895,1895,1895,1895,56
2026-02-26 10:42:00,1895,1895,1890,1890,25
2026-02-26 10:43:00,1895,1905,1890,1900,449
2026-02-26 10:44:00,1900,1905,1900,1900,6
2026-02-26 10:45:00,1905,1905,1900,1905,35
2026-02-26 10:46:00,1905,1905,1905,1905,19
2026-02-26 10:47:00,1905,1910,1905,1905,79
2026-02-26 10:48:00,1910,1910,1905,1910,14
2026-02-26 10:49:00,1910,1915,1905,1915,226
2026-02-26 10:50:00,1915,1920,1915,1920,180
2026-02-26 10:51:00,1920,1925,1920,1925,58
2026-02-26 10:52:00,1925,1925,1920,1925,41
2026-02-26 10:53:00,1925,1930,1925,1930,47
2026-02-26 10:54:00,1925,1930,1925,1930,25
2026-02-26 10:55:00,1925,1930,1925,1925,64
2026-02-26 10:56:00,1925,1945,1925,1945,178
2026-02-26 10:57:00,1950,1950,1945,1950,59
2026-02-26 10:58:00,1950,1955,1945,1955,150
2026-02-26 10:59:00,1955,1965,1955,1965,67
2026-02-26 11:00:00,1965,1970,1955,1960,190
2026-02-26 11:01:00,1960,1960,1955,1960,30
2026-02-26 11:02:00,1960,1960,1955,1960,35
2026-02-26 11:03:00,1960,1965,1955,1960,73
2026-02-26 11:04:00,1960,1965,1960,1960,69
2026-02-26 11:05:00,1960,1960,1945,1945,114
2026-02-26 11:06:00,1950,1950,1945,1945,39
2026-02-26 11:07:00,1950,1950,1945,1945,5
2026-02-26 11:08:00,1950,1950,1945,1950,9
2026-02-26 11:09:00,1945,1955,1945,1950,42
2026-02-26 11:10:00,1950,1955,1950,1955,13
2026-02-26 11:11:00,1955,1955,1950,1955,22
2026-02-26 11:12:00,1960,1960,1955,1955,18
2026-02-26 11:13:00,1955,1955,1950,1950,37
2026-02-26 11:14:00,1950,1950,1945,1950,12
2026-02-26 11:15:00,1950,1950,1950,1950,8
2026-02-26 11:16:00,1945,1950,1945,1950,11
2026-02-26 11:17:00,1950,1950,1945,1950,7
2026-02-26 11:18:00,1945,1950,1945,1950,18
2026-02-26 11:19:00,1950,1950,1945,1950,7
2026-02-26 11:20:00,1950,1950,1945,1950,19
2026-02-26 11:21:00,1950,1955,1945,1955,18
2026-02-26 11:22:00,1950,1955,1950,1955,7
2026-02-26 11:23:00,1955,1955,1955,1955,16
2026-02-26 11:24:00,1950,1955,1950,1955,11
2026-02-26 11:25:00,1955,1960,1955,1960,39
2026-02-26 11:26:00,1955,1960,1955,1960,14
2026-02-26 11:27:00,1955,1960,1955,1955,32
2026-02-26 11:28:00,1955,1955,1950,1955,35
2026-02-26 11:29:00,1955,1955,1950,1955,7
2026-02-26 11:30:00,1955,1955,1950,1955,18
2026-02-26 11:31:00,1955,1955,1955,1955,3
2026-02-26 11:32:00,1950,1955,1950,1955,6
2026-02-26 11:33:00,1950,1955,1950,1955,5
2026-02-26 11:34:00,1955,1955,1950,1955,13
2026-02-26 11:35:00,1955,1955,1950,1950,5
2026-02-26 11:36:00,1950,1955,1950,1955,3
2026-02-26 11:37:00,1955,1955,1950,1950,5
2026-02-26 11:38:00,1955,1955,1950,1955,7
2026-02-26 11:39:00,1950,1955,1950,1955,9
2026-02-26 11:40:00,1950,1955,1950,1955,5
2026-02-26 11:41:00,1955,1955,1950,1955,13
2026-02-26 11:42:00,1955,1955,1945,1945,161
2026-02-26 11:43:00,1950,1950,1945,1950,13
2026-02-26 11:44:00,1950,1950,1945,1945,13
2026-02-26 11:45:00,1945,1950,1945,1950,6
2026-02-26 11:46:00,1945,1950,1945,1950,8
2026-02-26 11:47:00,1945,1950,1945,1945,13
2026-02-26 11:48:00,1945,1950,1945,1950,10
2026-02-26 11:49:00,1950,1955,1945,1955,71
2026-02-26 11:50:00,1955,1960,1950,1955,79
2026-02-26 11:51:00,1955,1960,1955,1960,17
2026-02-26 11:52:00,1960,1960,1955,1955,11
2026-02-26 11:53:00,1955,1965,1955,1965,65
2026-02-26 11:54:00,1960,1965,1960,1965,17
2026-02-26 11:55:00,1960,1965,1960,1960,5
2026-02-26 11:56:00,1960,1965,1955,1955,76
2026-02-26 11:57:00,1955,1960,1955,1955,17
2026-02-26 11:58:00,1955,1960,1955,1960,24
2026-02-26 11:59:00,1960,1960,1955,1960,12
2026-02-26 12:00:00,1955,1965,1955,1965,25
2026-02-26 12:01:00,1965,1965,1960,1960,10
2026-02-26 12:02:00,1960,1965,1960,1965,56
2026-02-26 12:03:00,1965,1965,1960,1960,11
2026-02-26 12:04:00,1960,1965,1960,1965,9
2026-02-26 12:05:00,1965,1965,1960,1960,13
2026-02-26 12:06:00,1965,1965,1960,1965,24
2026-02-26 12:07:00,1965,1965,1960,1965,10
2026-02-26 12:08:00,1960,1965,1960,1960,10
2026-02-26 12:09:00,1960,1965,1960,1965,18
2026-02-26 12:10:00,1960,1965,1960,1965,19
2026-02-26 12:11:00,1965,1965,1960,1965,10
2026-02-26 12:12:00,1965,1965,1960,1965,16
2026-02-26 12:13:00,1965,1965,1960,1965,12
2026-02-26 12:14:00,1965,1965,1960,1965,14
2026-02-26 12:15:00,1965,1970,1965,1965,181
2026-02-26 12:16:00,1965,1965,1960,1965,14
2026-02-26 12:17:00,1965,1965,1960,1965,14
2026-02-26 12:18:00,1965,1965,1960,1965,10
2026-02-26 12:19:00,1960,1970,1960,1970,50
2026-02-26 12:20:00,1970,1970,1965,1970,15
2026-02-26 12:21:00,1970,1970,1960,1965,44
2026-02-26 12:22:00,1965,1970,1960,1960,46
2026-02-26 12:23:00,1965,1965,1960,1965,13
2026-02-26 12:24:00,1965,1965,1960,1965,11
2026-02-26 12:25:00,1960,1970,1960,1965,62
2026-02-26 12:26:00,1970,1970,1965,1965,39
2026-02-26 12:27:00,1965,1965,1960,1965,19
2026-02-26 12:28:00,1965,1970,1960,1965,25
2026-02-26 12:29:00,1970,1970,1965,1965,39
2026-02-26 12:30:00,1965,1965,1960,1965,22
2026-02-26 12:31:00,1970,1970,1960,1965,20
2026-02-26 12:32:00,1965,1970,1965,1970,22
2026-02-26 12:33:00,1970,1970,1965,1965,15
2026-02-26 12:34:00,1970,1970,1960,1965,22
2026-02-26 12:35:00,1970,1970,1960,1965,8
2026-02-26 12:36:00,1965,1970,1965,1970,49
2026-02-26 12:37:00,1970,1970,1965,1970,18
2026-02-26 12:38:00,1970,1975,1965,1975,254
2026-02-26 12:39:00,1975,1975,1970,1970,31
2026-02-26 12:40:00,1975,1975,1970,1975,25
2026-02-26 12:41:00,1975,1975,1965,1970,48
2026-02-26 12:42:00,1965,1970,1965,1970,9
2026-02-26 12:43:00,1965,1970,1965,1965,15
2026-02-26 12:44:00,1965,1970,1965,1965,13
2026-02-26 12:45:00,1970,1970,1965,1965,18
2026-02-26 12:46:00,1970,1970,1965,1965,11
2026-02-26 12:47:00,1965,1970,1965,1970,16
2026-02-26 12:48:00,1970,1970,1965,1965,23
2026-02-26 12:49:00,1970,1970,1965,1970,14
2026-02-26 12:50:00,1970,1970,1965,1970,13
2026-02-26 12:51:00,1970,1970,1965,1965,21
2026-02-26 12:52:00,1965,1970,1960,1965,97
2026-02-26 12:53:00,1965,1965,1960,1965,12
2026-02-26 12:54:00,1965,1965,1955,1955,98
2026-02-26 12:55:00,1960,1960,1955,1960,15
2026-02-26 12:56:00,1960,1960,1955,1955,16
2026-02-26 12:57:00,1955,1960,1955,1960,15
2026-02-26 12:58:00,1960,1960,1955,1960,13
2026-02-26 12:59:00,1955,1960,1955,1955,18
2026-02-26 13:00:00,1960,1960,1955,1960,26
2026-02-26 13:01:00,1960,1965,1955,1960,55
2026-02-26 13:02:00,1960,1965,1960,1960,87
2026-02-26 13:03:00,1960,1960,1955,1960,32
2026-02-26 13:04:00,1955,1960,1955,1960,30
2026-02-26 13:05:00,1960,1965,1955,1965,50
2026-02-26 13:06:00,1960,1965,1960,1965,61
2026-02-26 13:07:00,1965,1970,1960,1970,54
2026-02-26 13:08:00,1965,1970,1960,1965,64
2026-02-26 13:09:00,1965,1965,1960,1965,50
2026-02-26 13:10:00,1965,1965,1960,1965,74
2026-02-26 13:11:00,1965,1965,1960,1965,59
2026-02-26 13:12:00,1965,1970,1960,1970,83
2026-02-26 13:13:00,1965,1970,1960,1965,67
2026-02-26 13:14:00,1965,1970,1960,1965,61
2026-02-26 13:15:00,1965,1970,1960,1965,72
2026-02-26 13:16:00,1965,1970,1960,1965,58
2026-02-26 13:17:00,1965,1970,1960,1965,85
2026-02-26 13:18:00,1965,1970,1960,1970,66
2026-02-26 13:19:00,1970,1970,1960,1965,66
2026-02-26 13:20:00,1965,1970,1960,1970,59
2026-02-26 13:21:00,1970,1970,1960,1970,75
2026-02-26 13:22:00,1970,1970,1955,1960,143
2026-02-26 13:23:00,1955,1965,1955,1965,45
2026-02-26 13:24:00,1965,1965,1955,1965,74
2026-02-26 13:25:00,1945,1945,1945,1945,3193
